ts,symbol,price,qty,side
1766625031283,BTCUSDT,87604.48,5e-05,sell
1766625039813,BTCUSDT,87738.41,0.00012,buy
1766625125380,BTCUSDT,87738.35,0.00179,buy
1766625125380,BTCUSDT,87738.38,0.01234,buy
1766625125380,BTCUSDT,87738.42,0.00862,buy
1766625131156,BTCUSDT,87738.41,0.00169,buy
1766625140446,BTCUSDT,87738.41,1e-05,buy
1766625140446,BTCUSDT,87738.43,0.00019,buy
1766625140446,BTCUSDT,87739.54,8e-05,buy
1766625170409,BTCUSDT,87739.53,0.00011,buy
1766625215301,BTCUSDT,87739.53,5e-05,buy
1766625230384,BTCUSDT,87739.53,0.00011,buy
1766625275364,BTCUSDT,87739.53,6e-05,buy
1766626215974,BTCUSDT,87857.48,0.00112,buy
1766626490371,BTCUSDT,87849.37,2e-05,buy
1766626498208,BTCUSDT,87625.88,0.00021,sell
1766626580598,BTCUSDT,87846.48,0.00011,buy
1766626715362,BTCUSDT,87841.99,0.00011,buy
1766626775312,BTCUSDT,87840.23,0.00057,buy
1766626880375,BTCUSDT,87836.91,0.00023,buy
1766627011812,BTCUSDT,87833.93,0.00034,buy
1766627615296,BTCUSDT,87832.06,0.0034,buy
1766628115185,BTCUSDT,87820.11,0.00014,buy
1766628201985,BTCUSDT,87609.21,6e-05,sell
1766628320469,BTCUSDT,87813.56,0.00057,buy
1766628335310,BTCUSDT,87813.09,0.00023,buy
1766628515315,BTCUSDT,87807.22,0.00011,buy
1766628575362,BTCUSDT,87805.18,0.00011,buy
1766628710468,BTCUSDT,87801.06,0.00057,buy
1766628860415,BTCUSDT,87800.86,0.00011,buy
1766628905370,BTCUSDT,87800.84,0.00011,buy
1766629051264,BTCUSDT,87621.73,0.00056,sell
1766629370404,BTCUSDT,87799.49,0.00114,buy
1766629580394,BTCUSDT,87798.5,0.0017,buy
1766629580394,BTCUSDT,87798.51,0.02264,buy
1766629580394,BTCUSDT,87798.69,0.01337,buy
1766629580394,BTCUSDT,87798.74,0.01531,buy
1766629580394,BTCUSDT,87799.65,0.01215,buy
1766629580394,BTCUSDT,87800.6,0.04,buy
1766629580394,BTCUSDT,87855.72,0.00679,buy
1766629805393,BTCUSDT,87852.9,0.00114,buy
1766630546198,BTCUSDT,87847.37,0.00093,buy
1766630702458,BTCUSDT,87954.77,0.00069,buy
1766631635354,BTCUSDT,88072.88,0.00017,buy
1766631677774,BTCUSDT,88071.68,2e-05,buy
1766631800400,BTCUSDT,88068.34,8e-05,buy
1766631890413,BTCUSDT,88066.15,0.00028,buy
1766631935344,BTCUSDT,88065.17,0.00011,buy
1766632025377,BTCUSDT,88063.01,0.00113,buy
1766632509782,BTCUSDT,88049.59,0.00201,buy
1766633203107,BTCUSDT,88030.4,0.00056,buy
1766633497486,BTCUSDT,88021.55,0.00034,buy
1766633570419,BTCUSDT,88019.46,0.00113,buy
1766634192268,BTCUSDT,88003.92,0.00014,buy
1766634416169,BTCUSDT,87998.36,0.00048,buy
1766634485305,BTCUSDT,87996.75,0.00034,buy
1766634497682,BTCUSDT,87996.44,0.00109,buy
1766634742246,BTCUSDT,87991.37,0.00048,buy
1766635370357,BTCUSDT,87979.65,0.00034,buy
1766635370416,BTCUSDT,87979.65,0.00017,buy
1766635400415,BTCUSDT,87979.01,0.00045,buy
1766635400415,BTCUSDT,87979.02,0.00012,buy
1766635400514,BTCUSDT,87979.02,0.00057,buy
1766635445402,BTCUSDT,87978.04,2e-05,buy
1766635490312,BTCUSDT,87977.0,2e-05,buy
1766635580649,BTCUSDT,87975.11,6e-05,buy
1766635655306,BTCUSDT,87973.84,0.00057,buy
1766635715285,BTCUSDT,87972.87,0.00057,buy
1766635948813,BTCUSDT,87968.19,6e-05,buy
1766636015274,BTCUSDT,87966.82,0.00011,buy
1766636037895,BTCUSDT,87966.29,0.00011,buy
1766636045370,BTCUSDT,87966.18,0.00113,buy
1766636090409,BTCUSDT,87965.28,2e-05,buy
1766636254674,BTCUSDT,87962.19,0.00021,buy
1766636667271,BTCUSDT,87953.05,0.0733,buy
1766636667271,BTCUSDT,87953.06,0.0017,buy
1766636667271,BTCUSDT,87953.08,0.03878,buy
1766636709504,BTCUSDT,87952.85,0.04346,buy
1766636709504,BTCUSDT,87952.86,0.07031,buy
1766636749590,BTCUSDT,87952.77,0.0467,buy
1766636749590,BTCUSDT,87952.78,0.06706,buy
1766636921000,BTCUSDT,87692.1,7e-05,sell
1766636930416,BTCUSDT,87957.07,0.00044,buy
1766636930416,BTCUSDT,87957.08,0.00042,buy
1766637015429,BTCUSDT,87694.65,0.00095,sell
1766637037884,BTCUSDT,87956.02,0.00011,buy
1766637199161,BTCUSDT,87952.97,2e-05,buy
1766637843139,BTCUSDT,87940.71,0.00252,buy
1766637843139,BTCUSDT,87940.72,0.00027,buy
1766637988566,BTCUSDT,87939.54,0.01069,buy
1766638160523,BTCUSDT,87938.09,0.00011,buy
1766638665073,BTCUSDT,87935.65,0.00027,buy
1766638835362,BTCUSDT,87934.42,6e-05,buy
1766638925384,BTCUSDT,87933.89,3e-05,buy
1766638925412,BTCUSDT,87933.89,0.00017,buy
1766639090351,BTCUSDT,87932.72,0.00113,buy
1766639098098,BTCUSDT,87676.31,0.0002,sell
1766639237949,BTCUSDT,87931.46,0.00107,buy
1766639361242,BTCUSDT,87930.49,0.00048,buy
1766639465291,BTCUSDT,87929.7,6e-05,buy
1766639555387,BTCUSDT,87929.0,0.00023,buy
1766639579871,BTCUSDT,87684.61,0.00102,sell
1766639984073,BTCUSDT,87685.88,0.00052,sell
1766640162699,BTCUSDT,87688.49,0.01578,sell
1766640162926,BTCUSDT,87688.49,2e-05,sell
1766640163154,BTCUSDT,87688.49,2e-05,sell
1766640163379,BTCUSDT,87688.49,2e-05,sell
1766640163606,BTCUSDT,87688.51,2e-05,sell
1766640163833,BTCUSDT,87688.51,2e-05,sell
1766640164066,BTCUSDT,87688.52,2e-05,sell
1766640164289,BTCUSDT,87688.53,0.03156,sell
1766640440383,BTCUSDT,87838.06,0.00114,buy
1766640788505,BTCUSDT,87835.57,4e-05,buy
1766641055318,BTCUSDT,87834.4,0.00568,buy
1766641224369,BTCUSDT,87706.41,3e-05,sell
1766641550382,BTCUSDT,87831.49,0.00024,buy
1766641685342,BTCUSDT,87830.86,0.02151,buy
1766641685342,BTCUSDT,87830.87,0.0017,buy
1766641685342,BTCUSDT,87831.01,0.00292,buy
1766642510399,BTCUSDT,87827.63,0.00341,buy
1766642825379,BTCUSDT,87706.38,0.00158,sell
1766643017746,BTCUSDT,87707.45,0.01073,sell
1766643017839,BTCUSDT,87707.44,0.05084,sell
1766643025510,BTCUSDT,87707.43,0.01079,sell
1766643025633,BTCUSDT,87696.2,0.01799,sell
